benchmark,task_id,n,mechanisms,harnesses,models,pass_rate,mechanism_list,code_agent_tool_registry_n,code_agent_tool_registry_pass_rate,code_agent_tool_registry_successes,framework_mediated_browser_control_n,framework_mediated_browser_control_pass_rate,framework_mediated_browser_control_successes,text_action_protocol_n,text_action_protocol_pass_rate,text_action_protocol_successes,no_explicit_tools_n,no_explicit_tools_pass_rate,no_explicit_tools_successes,harness_side_augmentation_n,harness_side_augmentation_pass_rate,harness_side_augmentation_successes,native_tool_schema_n,native_tool_schema_pass_rate,native_tool_schema_successes,code_vs_augmentation_gap
scienceagentbench,50,25,2,2,12,0.28,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.3333333333333333,6.0,,,,0.19047619047619047
scienceagentbench,81,25,2,2,12,0.28,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.3333333333333333,6.0,,,,0.19047619047619047
scienceagentbench,90,25,2,2,12,0.56,code_agent_tool_registry; harness_side_augmentation,7,0.42857142857142855,3,,,,,,,,,,18.0,0.6111111111111112,11.0,,,,0.1825396825396826
scienceagentbench,40,25,2,2,12,0.44,code_agent_tool_registry; harness_side_augmentation,7,0.5714285714285714,4,,,,,,,,,,18.0,0.3888888888888889,7.0,,,,0.1825396825396825
scienceagentbench,97,25,2,2,12,0.12,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.16666666666666666,3.0,,,,0.16666666666666666
scienceagentbench,85,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.0,0.0,,,,0.14285714285714285
scienceagentbench,84,25,2,2,12,0.24,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.2777777777777778,5.0,,,,0.13492063492063494
scienceagentbench,18,25,2,2,12,0.52,code_agent_tool_registry; harness_side_augmentation,7,0.42857142857142855,3,,,,,,,,,,18.0,0.5555555555555556,10.0,,,,0.12698412698412703
scienceagentbench,57,25,2,2,12,0.8,code_agent_tool_registry; harness_side_augmentation,7,0.7142857142857143,5,,,,,,,,,,18.0,0.8333333333333334,15.0,,,,0.11904761904761907
scienceagentbench,6,25,2,2,12,0.2,code_agent_tool_registry; harness_side_augmentation,7,0.2857142857142857,2,,,,,,,,,,18.0,0.16666666666666666,3.0,,,,0.11904761904761904
scienceagentbench,7,25,2,2,12,0.08,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.1111111111111111,2.0,,,,0.1111111111111111
scienceagentbench,77,25,2,2,12,0.08,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.1111111111111111,2.0,,,,0.1111111111111111
scienceagentbench,89,25,2,2,12,0.08,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.1111111111111111,2.0,,,,0.1111111111111111
scienceagentbench,98,25,2,2,12,0.08,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.1111111111111111,2.0,,,,0.1111111111111111
scienceagentbench,79,25,2,2,12,0.64,code_agent_tool_registry; harness_side_augmentation,7,0.7142857142857143,5,,,,,,,,,,18.0,0.6111111111111112,11.0,,,,0.10317460317460314
scienceagentbench,102,25,2,2,12,0.08,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.0873015873015873
scienceagentbench,52,25,2,2,12,0.08,code_agent_tool_registry; harness_side_augmentation,7,0.14285714285714285,1,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.0873015873015873
scienceagentbench,20,25,2,2,12,0.48,code_agent_tool_registry; harness_side_augmentation,7,0.42857142857142855,3,,,,,,,,,,18.0,0.5,9.0,,,,0.07142857142857145
scienceagentbench,45,25,2,2,12,0.76,code_agent_tool_registry; harness_side_augmentation,7,0.7142857142857143,5,,,,,,,,,,18.0,0.7777777777777778,14.0,,,,0.06349206349206349
scienceagentbench,71,25,2,2,12,0.24,code_agent_tool_registry; harness_side_augmentation,7,0.2857142857142857,2,,,,,,,,,,18.0,0.2222222222222222,4.0,,,,0.06349206349206349
scienceagentbench,101,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,24,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,25,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,35,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,42,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,47,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,56,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,63,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
scienceagentbench,70,25,2,2,12,0.04,code_agent_tool_registry; harness_side_augmentation,7,0.0,0,,,,,,,,,,18.0,0.05555555555555555,1.0,,,,0.05555555555555555
