feature_group,feature_name,baseline_bce,ablated_bce,delta_bce,baseline_auc,ablated_auc,delta_auc,baseline_accuracy,ablated_accuracy,delta_accuracy,baseline_brier,ablated_brier,delta_brier
task_categorical,bench_task_type,0.35822705592936455,0.7615536399604459,0.40332658403108135,0.8951862030911364,0.7608497817681379,-0.1343364213229985,0.8350570613409415,0.7979671897289586,-0.03708987161198285,0.1133844256401062,0.17940959334373474,0.06602516770362854
task_categorical,bench_domain,0.35822705592936455,0.5417621678499787,0.1835351119206141,0.8951862030911364,0.8417120316031313,-0.05347417148800504,0.8350570613409415,0.7847717546362339,-0.050285306704707544,0.1133844256401062,0.16105879843235016,0.04767437279224396
task_boolean,bench_requires_reasoning,0.35822705592936455,0.3856421305554369,0.027415074626072344,0.8951862030911364,0.8894735171586481,-0.005712685932488304,0.8350570613409415,0.8168687589158345,-0.01818830242510694,0.1133844256401062,0.12484053522348404,0.011456109583377838
task_boolean,bench_requires_code,0.35822705592936455,0.38230919130321495,0.0240821353738504,0.8951862030911364,0.8865067357673191,-0.008679467323817303,0.8350570613409415,0.8281027104136948,-0.006954350927246722,0.1133844256401062,0.11973080784082413,0.006346382200717926
task_boolean,bench_requires_web,0.35822705592936455,0.362252772887316,0.004025716957951453,0.8951862030911364,0.8927283987893279,-0.0024578043018085305,0.8350570613409415,0.8325606276747504,-0.0024964336661911224,0.1133844256401062,0.11501874029636383,0.0016343146562576294
agent_categorical,model_family,0.35822705592936455,0.35986928368861526,0.001642227759250714,0.8951862030911364,0.8949666283889419,-0.0002195747021944694,0.8350570613409415,0.8343437945791726,-0.0007132667617688604,0.1133844256401062,0.1134413331747055,5.69075345993042e-05
agent_boolean,scaffold_web_search,0.35822705592936455,0.3582956121792342,6.85562498696779e-05,0.8951862030911364,0.8951404651435334,-4.573794760298622e-05,0.8350570613409415,0.8352353780313837,0.0001783166904422151,0.1133844256401062,0.11339043080806732,6.0051679611206055e-06
agent_boolean,affordance_web_search,0.35822705592936455,0.3582889877055319,6.193177616736767e-05,0.8951862030911364,0.8951486035683738,-3.759952276261025e-05,0.8350570613409415,0.8352353780313837,0.0001783166904422151,0.1133844256401062,0.11338858306407928,4.157423973083496e-06
agent_boolean,scaffold_http_requests,0.35822705592936455,0.3582804714966127,5.341556724813845e-05,0.8951862030911364,0.8951686240934812,-1.757899765519877e-05,0.8350570613409415,0.8352353780313837,0.0001783166904422151,0.1133844256401062,0.1133837103843689,-7.152557373046875e-07
agent_boolean,affordance_benchmark_api_tools,0.35822705592936455,0.35827881249727594,5.175656791139849e-05,0.8951862030911364,0.8951674847140036,-1.8718377132742603e-05,0.8350570613409415,0.8352353780313837,0.0001783166904422151,0.1133844256401062,0.1133834719657898,-9.5367431640625e-07
agent_boolean,affordance_native_domain_tools,0.35822705592936455,0.3582696692475012,4.261331813665281e-05,0.8951862030911364,0.8950852866231153,-0.0001009164680211283,0.8350570613409415,0.8355920114122682,0.0005349500713267563,0.1133844256401062,0.11337702721357346,-7.398426532745361e-06
